pruning,max_depth,red_start_x,red_start_y,blue_start_x,blue_start_y,red_end_x,red_end_y,blue_end_x,blue_end_y,num_moves,total_time,avg_time,winner
TRUE,2,3,5,17,5,4,7,12,7,89,0.386965036,0.004347922,
TRUE,2,7,8,18,11,9,7,17,7,75,0.30618453,0.00408246,
TRUE,2,3,1,18,6,13,7,16,7,76,0.298302889,0.003925038,
TRUE,2,4,6,12,9,4,7,12,7,77,0.317155838,0.004118907,
TRUE,2,6,12,17,5,9,7,17,7,79,0.315147161,0.003989205,
TRUE,2,6,10,18,6,9,7,17,7,77,0.314132452,0.004079642,
TRUE,2,8,11,17,8,10,7,14,7,63,0.242324829,0.003846426,
TRUE,2,1,1,11,8,4,7,12,7,73,0.284252167,0.003893865,
TRUE,2,7,11,16,8,9,7,17,7,77,0.312726259,0.00406138,
TRUE,2,3,9,17,3,4,7,12,7,89,0.372020721,0.004180008,
TRUE,2,1,2,12,12,4,7,12,7,83,0.429824352,0.005178607,
TRUE,2,8,7,15,5,9,7,17,7,73,0.28374815,0.003886961,
TRUE,2,7,12,17,10,9,7,17,7,79,0.314665079,0.003983102,
TRUE,2,7,5,18,6,10,7,15,7,62,0.222402334,0.003587134,
TRUE,2,6,6,12,8,4,7,12,7,77,0.310143232,0.004027834,
TRUE,2,9,9,14,2,15,7,16,6,15,0.040863276,0.002724218,Team.RED
TRUE,2,8,4,11,5,10,7,15,7,64,0.232378483,0.003630914,
TRUE,2,4,9,14,1,4,7,12,7,85,0.357072353,0.004200851,
TRUE,2,1,1,13,12,5,7,9,7,69,0.261274576,0.003786588,
TRUE,2,9,3,18,12,9,7,17,7,77,0.306240082,0.003977144,
TRUE,2,3,6,16,5,9,7,17,7,85,0.354083061,0.004165683,
TRUE,2,2,12,12,12,6,7,10,7,67,0.253350973,0.003781358,
TRUE,2,3,5,12,7,5,7,10,7,60,0.249334574,0.004155576,
TRUE,2,3,3,16,6,9,7,17,7,85,0.362034082,0.004259224,
TRUE,2,8,11,11,9,4,9,5,7,16,0.043856382,0.002741024,Team.BLUE
TRUE,2,2,1,12,12,4,7,12,7,83,0.33112812,0.003989495,
TRUE,2,6,5,12,9,4,7,12,7,77,0.395941734,0.0051421,
TRUE,2,3,8,11,6,4,7,12,7,75,0.30618,0.0040824,
TRUE,2,5,3,12,5,4,7,12,7,75,0.383970976,0.005119613,
TRUE,2,7,5,11,8,4,7,12,7,73,0.269358635,0.003689844,
TRUE,2,3,2,17,5,4,7,12,7,89,0.39391923,0.004426059,
TRUE,2,5,5,17,8,9,7,17,7,79,0.329138041,0.004166304,
TRUE,2,2,10,17,3,9,7,17,7,87,0.404892683,0.004653939,
TRUE,2,2,8,16,9,4,7,12,7,85,0.352062225,0.004141909,
TRUE,2,3,12,17,3,4,7,12,7,89,0.378077269,0.004248059,
TRUE,2,2,10,15,5,6,7,10,7,67,0.250321388,0.00373614,
TRUE,2,1,3,14,1,6,7,10,7,69,0.259785891,0.003765013,
TRUE,2,8,4,15,5,9,7,17,7,75,0.297199011,0.003962653,
TRUE,2,2,3,16,10,4,7,12,7,85,0.345064402,0.004059581,
TRUE,2,2,6,15,9,6,7,10,7,67,0.250324011,0.003736179,
TRUE,2,8,1,17,5,13,7,16,7,74,0.288229942,0.003894999,
TRUE,2,2,5,18,1,4,7,12,7,91,0.379014969,0.004165,
TRUE,2,3,4,14,1,9,7,17,7,85,0.3470788,0.00408328,
TRUE,2,1,6,15,6,4,7,12,7,83,0.341115952,0.004109831,
TRUE,2,6,10,14,6,4,7,12,7,83,0.421861172,0.005082665,
TRUE,2,8,6,11,5,4,7,12,7,77,0.304214954,0.003950844,
TRUE,2,7,5,17,12,13,7,16,7,68,0.253322363,0.003725329,
TRUE,2,5,5,14,9,9,7,17,7,81,0.36502409,0.00450647,
TRUE,2,3,2,13,10,4,7,12,7,79,0.322139502,0.004077715,
TRUE,2,2,2,15,6,6,7,10,7,67,0.302218914,0.00451073,
TRUE,2,9,7,18,5,11,7,16,7,60,0.2124331,0.003540552,
TRUE,2,1,3,18,6,9,7,17,7,89,0.393069983,0.004416517,
TRUE,2,2,1,18,10,4,7,12,7,91,0.379714727,0.004172689,
TRUE,2,5,2,15,3,4,7,12,7,85,0.364002466,0.004282382,
TRUE,2,2,5,14,12,6,7,10,7,67,0.243350029,0.00363209,
TRUE,2,9,8,18,6,11,7,16,7,60,0.318147659,0.005302461,
TRUE,2,7,2,13,2,5,7,9,7,71,0.44879961,0.006321121,
TRUE,2,4,5,14,11,4,7,12,7,81,0.330156326,0.004076004,
TRUE,2,7,8,18,1,9,7,17,7,75,0.315605164,0.004208069,
TRUE,2,8,12,11,5,5,9,5,7,16,0.041887999,0.002618,Team.BLUE
TRUE,2,3,2,12,8,4,7,12,7,77,0.304702044,0.003957169,
TRUE,2,3,8,17,5,4,7,12,7,89,0.37103653,0.00416895,
TRUE,2,8,1,15,8,11,7,15,7,69,0.256315231,0.003714713,
TRUE,2,6,4,13,4,9,7,17,7,79,0.328114748,0.004153351,
TRUE,2,3,5,17,11,4,7,12,7,89,0.392079115,0.004405383,
TRUE,2,6,4,14,4,4,7,12,7,83,0.352058649,0.00424167,
TRUE,2,3,9,15,10,4,7,12,7,83,0.363050222,0.004374099,
